"","Name","Age","Photo","Nationality","Flag","Overall Rating","Club","Club Logo","Position","Height","Weight","Jersey Number"
"1","L. Goretzka",27,"https://cdn.sofifa.net/players/209/658/23_60.png","Germany","https://cdn.sofifa.net/flags/de.png",87,"FC Bayern München","https://cdn.sofifa.net/teams/21/30.png","SUB","6'2""",180.8,8
"2","Bruno Fernandes",27,"https://cdn.sofifa.net/players/212/198/23_60.png","Portugal","https://cdn.sofifa.net/flags/pt.png",86,"Manchester United","https://cdn.sofifa.net/teams/11/30.png","LCM","5'10""",152.1,8
"3","M. Acuña",30,"https://cdn.sofifa.net/players/224/334/23_60.png","Argentina","https://cdn.sofifa.net/flags/ar.png",85,"Sevilla FC","https://cdn.sofifa.net/teams/481/30.png","LB","5'8""",152.1,19
"4","K. De Bruyne",31,"https://cdn.sofifa.net/players/192/985/23_60.png","Belgium","https://cdn.sofifa.net/flags/be.png",91,"Manchester City","https://cdn.sofifa.net/teams/10/30.png","RCM","5'11""",154.3,17
"5","N. Barella",25,"https://cdn.sofifa.net/players/224/232/23_60.png","Italy","https://cdn.sofifa.net/flags/it.png",86,"Inter","https://cdn.sofifa.net/teams/44/30.png","RCM","5'8""",149.9,23
"6","J. Kimmich",27,"https://cdn.sofifa.net/players/212/622/23_60.png","Germany","https://cdn.sofifa.net/flags/de.png",89,"FC Bayern München","https://cdn.sofifa.net/teams/21/30.png","RDM","5'10""",165.3,6
"7","D. Alaba",30,"https://cdn.sofifa.net/players/197/445/23_60.png","Austria","https://cdn.sofifa.net/flags/at.png",86,"Real Madrid CF","https://cdn.sofifa.net/teams/243/30.png","LCB","5'11""",172,4
"8"," Paulinho",32,"https://cdn.sofifa.net/players/187/961/22_60.png","Brazil","https://cdn.sofifa.net/flags/br.png",83,"Al Ahli","https://cdn.sofifa.net/teams/112387/30.png","LCM","6'0""",176.4,15
"9","E. Can",28,"https://cdn.sofifa.net/players/208/333/23_60.png","Germany","https://cdn.sofifa.net/flags/de.png",82,"Borussia Dortmund","https://cdn.sofifa.net/teams/22/30.png","SUB","6'1""",189.6,23
"10","João Cancelo",28,"https://cdn.sofifa.net/players/210/514/23_60.png","Portugal","https://cdn.sofifa.net/flags/pt.png",88,"Manchester City","https://cdn.sofifa.net/teams/10/30.png","LB","5'12""",163.1,7
"11","L. Pellegrini",26,"https://cdn.sofifa.net/players/228/251/23_60.png","Italy","https://cdn.sofifa.net/flags/it.png",84,"Roma","https://cdn.sofifa.net/teams/52/30.png","RCM","6'1""",169.8,7
"12","L. Modrić",36,"https://cdn.sofifa.net/players/177/003/23_60.png","Croatia","https://cdn.sofifa.net/flags/hr.png",88,"Real Madrid CF","https://cdn.sofifa.net/teams/243/30.png","RCM","5'8""",145.5,10
"13","S. Milinković-Savić",27,"https://cdn.sofifa.net/players/223/848/23_60.png","Serbia","https://cdn.sofifa.net/flags/rs.png",86,"Lazio","https://cdn.sofifa.net/teams/46/30.png","RCM","6'3""",167.6,21
"14","Merino",26,"https://cdn.sofifa.net/players/225/193/23_60.png","Spain","https://cdn.sofifa.net/flags/es.png",83,"Real Sociedad","https://cdn.sofifa.net/teams/457/30.png","LCM","6'2""",183,8
"15","Marcos Llorente",27,"https://cdn.sofifa.net/players/226/161/23_60.png","Spain","https://cdn.sofifa.net/flags/es.png",84,"Atlético de Madrid","https://cdn.sofifa.net/teams/240/30.png","RCM","6'0""",163.1,14
"16","R. De Paul",28,"https://cdn.sofifa.net/players/212/616/23_60.png","Argentina","https://cdn.sofifa.net/flags/ar.png",84,"Atlético de Madrid","https://cdn.sofifa.net/teams/240/30.png","SUB","5'11""",154.3,5
"17","I. Perišić",33,"https://cdn.sofifa.net/players/181/458/23_60.png","Croatia","https://cdn.sofifa.net/flags/hr.png",84,"Tottenham Hotspur","https://cdn.sofifa.net/teams/18/30.png","SUB","6'1""",176.4,14
"18","F. de Jong",25,"https://cdn.sofifa.net/players/228/702/23_60.png","Netherlands","https://cdn.sofifa.net/flags/nl.png",87,"FC Barcelona","https://cdn.sofifa.net/teams/241/30.png","RCM","5'11""",163.1,21
"19","A. Griezmann",31,"https://cdn.sofifa.net/players/194/765/23_60.png","France","https://cdn.sofifa.net/flags/fr.png",83,"Atlético de Madrid","https://cdn.sofifa.net/teams/240/30.png","RS","5'9""",160.9,8
"20","J. Cuadrado",34,"https://cdn.sofifa.net/players/193/082/23_60.png","Colombia","https://cdn.sofifa.net/flags/co.png",83,"Juventus","https://cdn.sofifa.net/teams/45/30.png","RB","5'10""",158.7,11
"21","F. Kostić",29,"https://cdn.sofifa.net/players/208/574/23_60.png","Serbia","https://cdn.sofifa.net/flags/rs.png",85,"Eintracht Frankfurt","https://cdn.sofifa.net/teams/1824/30.png","LM","6'0""",185.2,10
"22","T. Alexander-Arnold",23,"https://cdn.sofifa.net/players/231/281/23_60.png","England","https://cdn.sofifa.net/flags/gb-eng.png",87,"Liverpool","https://cdn.sofifa.net/teams/9/30.png","RB","5'11""",152.1,66
"23","L. Suárez",35,"https://cdn.sofifa.net/players/176/580/23_60.png","Uruguay","https://cdn.sofifa.net/flags/uy.png",84,"Club Nacional de Football","https://cdn.sofifa.net/teams/111325/30.png","LS","5'12""",189.6,9
"24","A. Hakimi",23,"https://cdn.sofifa.net/players/235/212/23_60.png","Morocco","https://cdn.sofifa.net/flags/ma.png",84,"Paris Saint-Germain","https://cdn.sofifa.net/teams/73/30.png","RWB","5'11""",160.9,2
