Mural Registration ID,Image Link,Image
19001,https://live.staticflickr.com/784/27515627578_b672014d7e_b.jpg,Picture
19309,https://images.squarespace-cdn.com/content/v1/555e1b4de4b003d47ad05765/1432307498679-70IF3OOK4HCLW7JL7DBN/SouthShore03_905.jpg?format=1500w,Picture
19286,https://loopchicago.com/assets/Tourism-Operators/images/4_Ant-Ben-and-Gabe-Moskolis-copy__FillWzYwMCwzMjFd.jpg,Picture
19374,https://cdn.myportfolio.com/1d8e54e6-ae5a-4d6a-8a28-57b7e374d96a/abafb854-137c-48cd-8cd6-8a237b5aa13a_rw_1200.jpg?h=0f7c9b058e79dbfd3de9a69b7be2b19f,Picture
19179,https://freight.cargo.site/t/original/i/27286f80ab71f2f789c0aa10585a391f8181fb3a7bc0d79449aeabeb8e34811d/stwts.jpg,Picture
19290,https://loopchicago.com/assets/Tourism-Operators/images/17_Dwight-White_Lost-in-Now__FillWzEyMDAsMTIwMF0.jpg,Picture
19088,,#VALUE!
19337,,#VALUE!
19082,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnDLyfuyIURemRvY0Bg892Z0V-GXi21c8CkOFEvvq99gVTHNd5V83lgBLE26RS3U4zU9U&usqp=CAU,Picture
19314,,#VALUE!
19109,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRE127gwgB0rKCKKTI3Mqzj0UMl3C36NmrNwx6ebTzW2MvRY0IKJpFFCFovdYho29DOpF4&usqp=CAU,Picture
19171,https://cst.brightspotcdn.com/dims4/default/2b39190/2147483647/strip/true/crop/4032x3024+0+0/resize/840x630!/quality/90/?url=https%3A%2F%2Fcdn.vox-cdn.com%2Fthumbor%2FYB9UJ4PsIo36hIfmlJr_uQnlGAM%3D%2F0x0%3A4032x3024%2F4032x3024%2Ffilters%3Afocal%282016x1512%3A2017x1513%29%2Fcdn.vox-cdn.com%2Fuploads%2Fchorus_asset%2Ffile%2F19877486%2FMontrose_Knox.jpg,Picture
19221,NA,
19288,https://loopchicago.com/assets/Tourism-Operators/images/19_Killabunz-and-Jose-Quezada_2birds-One-Stone__FillWzEyMDAsMTIwMF0.jpg,Picture
19214,,#VALUE!
19417,https://cst.brightspotcdn.com/dims4/default/a8a87c8/2147483647/strip/true/crop/3000x1713+0+1144/resize/1461x834!/quality/90/?url=https%3A%2F%2Fcdn.vox-cdn.com%2Fthumbor%2F2chHEfo7EhWHllwOy5f-4mOSlLU%3D%2F0x0%3A3000x4000%2F3000x4000%2Ffilters%3Afocal%281500x2000%3A1501x2001%29%2Fcdn.vox-cdn.com%2Fuploads%2Fchorus_asset%2Ffile%2F23381447%2Fwesttown.jpeg,Picture
19411,https://cst.brightspotcdn.com/dims4/default/f8dc112/2147483647/strip/false/crop/800x450+0+75/resize/1200x675!/quality/90/?url=https%3A%2F%2Fcdn.vox-cdn.com%2Fthumbor%2F6SCyf3l60f-qbL2t2EXQTW8jRq8%3D%2F0x0%3A800x600%2F800x600%2Ffilters%3Afocal%28400x300%3A401x301%29%2Fcdn.vox-cdn.com%2Fuploads%2Fchorus_asset%2Ffile%2F23221341%2F41A5A037_1229_4EC9_AAB2_D018371AB567.JPG,Picture
19034,https://cydsmillie.com/wp-content/uploads/2018/06/North-end-of-mural-150x150.jpg,Picture
19449,https://images.squarespace-cdn.com/content/v1/5859a21abebafbdeb004bae2/1633715070235-YOZCPI160V14X4U567MA/image-asset.png?format=2500w,Picture
19078,,#VALUE!
19284,https://loopchicago.com/assets/Tourism-Operators/images/1_Dwight-White_Face-Lift__FillWzEyMDAsMTIwMF0.jpeg,Picture
19210,https://masa-aws.imgix.net/1566781041515-ionic-testing.jpg?auto=format&ar=1:1&fit=fill&w=800&h=800&fill=blur,Picture
19311,,#VALUE!
19323,,#VALUE!
19185,https://live.staticflickr.com/4311/35419527544_04b468df2e_b.jpg,Picture
19372,https://131108822.cdn6.editmysite.com/uploads/1/3/1/1/131108822/s543891394305170201_p17_i5_w1080.jpeg,Picture
19434,https://cst.brightspotcdn.com/dims4/default/51b6736/2147483647/strip/false/crop/4032x2268+0+0/resize/1200x675!/quality/90/?url=https%3A%2F%2Fcdn.vox-cdn.com%2Fthumbor%2FSF-ZLBv4a2A73wvYe4fljt9r85E%3D%2F0x0%3A4032x3024%2F4032x3024%2Ffilters%3Afocal%282029x717%3A2030x718%29%2Fcdn.vox-cdn.com%2Fuploads%2Fchorus_asset%2Ffile%2F24819750%2FIMG_6140.jpg,Picture
