"last_name, first_name",player_id,year,pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Torres, Gleyber",650402,2022,572,22.6,6.8,0.328,0.319,36.2,10.7,45.3,100.5348042,94.66005785,27.2,49.6
"Pham, Tommy",502054,2022,622,26.8,9,0.304,0.311,33.2,7.9,48.5,102.5144374,95.77810144,26,42
"Correa, Carlos",621043,2022,590,20.5,10.3,0.362,0.36,35.3,11.4,44.7,101.9928733,95.28420077,22,44.4
"Kwan, Steven",680757,2022,638,9.4,9.7,0.341,0.312,34.6,1.4,20.8,94.21905829,91.13424849,9,38.1
"Rojas, Josh",668942,2022,510,19.2,10.8,0.326,0.305,33.5,4.5,36.1,98.05044413,93.26504834,22.3,41
"Kirk, Alejandro",672386,2022,541,10.7,11.6,0.347,0.351,32,6.7,45.4,101.0533047,94.98953761,15.4,41
"Turner, Justin",457759,2022,532,16.7,9.4,0.343,0.339,40.6,8,40.6,99.00254565,93.73685852,20.3,48.2
"Cruz, Nelson",443558,2022,507,23.5,9.7,0.292,0.32,28,9.3,46.1,102.2983806,95.46897826,32,50.8
"Semien, Marcus",543760,2022,724,16.6,7.3,0.317,0.306,32.4,6.8,34.9,97.83862434,93.00847117,20.6,47.2
"Arenado, Nolan",571448,2022,620,11.6,8.4,0.381,0.339,35.4,8.2,38.9,99.55856672,93.95281086,19.1,48.4
"Hernández, Teoscar",606192,2022,535,28.4,6.4,0.348,0.351,36.3,15,53.3,103.4204195,96.49671787,35.1,48.8
"Judge, Aaron",592450,2022,696,25.1,15.9,0.458,0.463,39,26.5,61.9,107.1100727,99.05335922,29.8,42.7
"Rojas, Miguel",500743,2022,507,12,5.1,0.268,0.289,33.1,1.9,27.1,96.24996063,92.12600185,15.8,47.9
"LeMahieu, DJ",518934,2022,541,13.1,12.4,0.329,0.344,32.8,5.3,41.1,99.49962849,94.04807549,15.7,39.5
"Hernández, César",514917,2022,617,18.5,7.3,0.283,0.29,33.3,2.4,29.7,96.44926705,92.25732993,21,47.5
"Hays, Austin",669720,2022,582,19.6,5.8,0.314,0.298,32.3,5.2,37.7,98.99792243,93.54316598,23.5,51
"Bohm, Alec",664761,2022,631,17.4,4.9,0.31,0.333,37.7,6.8,43,100.6498734,94.55257982,21.1,51.2
"Blackmon, Charlie",453568,2022,577,18.9,5.5,0.317,0.301,36.7,4.4,30.6,97.42643533,92.73212843,21.4,51.5
"Farmer, Kyle",571657,2022,583,17,5.7,0.309,0.311,37.7,4.4,33.8,97.05025209,92.53402733,19.4,50.3
"Kiner-Falefa, Isiah",643396,2022,531,13.6,6.6,0.285,0.29,29.6,1.2,30.1,96.61469272,92.35514324,11.3,44.7
"Rengifo, Luis",650859,2022,511,15.5,3.3,0.314,0.296,31.1,5.4,33.6,98.09743639,93.09632474,21.5,55.7
"McCutchen, Andrew",457705,2022,580,21.4,9.8,0.309,0.322,36.2,8.6,40,99.92693269,94.14316084,24.2,44.9
"Freeman, Freddie",518692,2022,708,14.4,11.9,0.393,0.4,42.9,9.9,47.8,100.761588,95.09426949,19.5,49.3
"Hayes, Ke'Bryan",663647,2022,560,21.8,8.6,0.294,0.3,30.6,3.9,46.8,102.2632138,95.47704675,20.7,43.3
"Goldschmidt, Paul",502671,2022,651,21.7,12.1,0.419,0.367,31.8,11.6,47.4,102.2446082,95.4401523,26.8,41.7
"Renfroe, Hunter",592669,2022,522,23.2,7.5,0.347,0.323,32.7,10.9,43.6,101.6459813,95.17318839,27,47.8
"Varsho, Daulton",662139,2022,592,24.5,7.8,0.323,0.298,33.6,10.2,35.6,99.2117259,93.6867316,25.3,50.6
"Lindor, Francisco",596019,2022,706,18.8,8.4,0.342,0.331,29.2,8.3,41.3,99.74056542,94.14308743,22.9,47.8
"Melendez, MJ",669004,2022,534,24.5,12.4,0.31,0.332,31,10.4,43.5,100.5958883,94.71638371,27.8,44.6
"Schwarber, Kyle",656941,2022,669,29.9,12.9,0.355,0.375,35.4,20.1,54.4,104.7938573,97.24755537,29.4,40.6
"Ohtani, Shohei",660271,2022,666,24.2,10.8,0.37,0.383,35,16.8,49.8,103.8236243,96.52036379,28.1,49.3
"Crawford, J.P.",641487,2022,603,13.3,11.3,0.306,0.315,32.4,2,29.7,96.66364771,92.35483867,14.3,41.3
"Hoskins, Rhys",656555,2022,672,25.1,10.7,0.345,0.338,37.3,11.1,44.3,100.842285,94.80461664,25.7,41.9
"Schoop, Jonathan",570731,2022,510,21,3.7,0.245,0.268,29.1,4.8,38.6,99.96762856,93.99379126,28.2,55.5
"Winker, Jesse",608385,2022,547,18.8,15.4,0.313,0.345,32,7.6,34.3,98.67449927,93.33925449,19.9,43.3
"Murphy, Sean",669221,2022,612,20.3,9.2,0.331,0.344,34.7,10.5,41.4,101.0851588,94.70689144,24,49.3
"Giménez, Andrés",665926,2022,557,20.1,6.1,0.364,0.326,31.3,6.2,37.8,99.022592,93.61597635,26.4,53.7
"Cronenworth, Jake",630105,2022,684,19.2,10.2,0.318,0.303,32.3,5.6,34.1,97.91736283,93.09191804,18,41.8
"Pollock, AJ",572041,2022,527,18.6,6.1,0.297,0.317,32.9,9.4,42,100.4143192,94.34853632,24.7,53.6
"Benintendi, Andrew",643217,2022,521,14.8,10,0.342,0.334,39.2,5.1,38.7,98.21078057,93.39163635,20.7,48.2
"Mullins, Cedric",656775,2022,672,18.8,7,0.315,0.288,29.3,4.9,37.3,98.89523136,93.56958269,22.2,51.3
"Rosario, Amed",642708,2022,670,16.6,3.7,0.311,0.31,31.1,4.5,38.3,99.69020113,93.99199053,21,53.1
"Tucker, Kyle",663656,2022,609,15.6,9.7,0.348,0.353,34.4,10.2,42.4,100.3325604,94.46828804,20,52.7
"Estrada, Thairo",642731,2022,541,16.5,6.1,0.317,0.299,31.6,4.4,31.1,97.09214635,92.54814231,20.3,49.2
"Drury, Brandon",592273,2022,568,22.2,6.7,0.35,0.316,34.8,10.4,42.2,100.5868921,94.43899832,21.5,45.9
"Rizzo, Anthony",519203,2022,548,18.4,10.6,0.352,0.349,33.9,10.9,40.8,99.61226863,94.10255401,22.8,46.1
"Bregman, Alex",608324,2022,656,11.7,13.3,0.358,0.35,36.2,7.3,37.8,98.37864533,93.36413902,14.9,40.3
"Rodríguez, Julio",677594,2022,560,25.9,7.1,0.366,0.337,32.7,13.1,50.7,103.7187958,96.37900645,30.4,50.2
"Aguilar, Jesús",542583,2022,507,23.5,5.5,0.288,0.298,39.7,6.9,36,98.45975354,93.30100307,27,49.5
"Bichette, Bo",666182,2022,697,22.2,5.9,0.347,0.33,33.3,9.6,50.3,102.7431713,96.00327885,23,55.9
"Swanson, Dansby",621020,2022,696,26.1,7,0.337,0.337,37,10.8,46.3,100.8392096,94.81034195,30.7,49.4
"Verdugo, Alex",657077,2022,644,13.4,6.5,0.319,0.329,37.8,6,38.2,99.11257424,93.70648682,15.5,45.3
"Nimmo, Brandon",607043,2022,673,17.2,10.5,0.353,0.338,28.1,7,39.8,100.2513017,94.35469848,19.6,43.8
"Mateo, Jorge",622761,2022,533,27.6,5.1,0.281,0.272,35.5,6,32.7,98.63578407,93.33727959,31.1,53.9
"Tellez, Rowdy",642133,2022,599,20.2,10.4,0.327,0.349,31.4,12.9,46,102.5538389,95.69056721,23.8,43.5
"Arozarena, Randy",668227,2022,645,24.2,7.1,0.336,0.297,28.2,7.9,41,101.17822,94.77219512,28.7,46.1
"Ward, Taylor",621493,2022,564,21.3,10.6,0.362,0.361,41.8,12.4,42.9,100.1845719,94.43955003,22.3,41.4
"Walker, Christian",572233,2022,667,19.6,10.3,0.346,0.359,33.3,11.5,44,101.4663712,95.00141326,24.6,44.7
"Santana, Carlos",467793,2022,506,17.4,14,0.308,0.352,31.6,9.3,44.9,100.9937085,94.85106023,21.3,42.6
"Kim, Ha-Seong",673490,2022,582,17.2,8.8,0.313,0.309,34,4.2,32.4,97.64756766,92.86931273,19.1,43.3
"Chapman, Matt",656305,2022,621,27.4,11,0.331,0.341,34,12.9,51.2,102.9066062,96.2236307,28.7,41.7
"Devers, Rafael",646240,2022,614,18.6,8.1,0.373,0.361,33.1,11.5,50.9,103.7842392,96.70440247,28.2,54.6
"Rodgers, Brendan",663898,2022,581,17.4,7.9,0.321,0.326,31.3,7.2,45.9,101.127645,94.8828646,22.7,49.4
"Muncy, Max",571970,2022,565,25,15.9,0.318,0.339,34.3,13.4,45.6,100.4884562,94.68075604,26.1,38.6
"Donaldson, Josh",518626,2022,546,27.1,9.9,0.302,0.299,34.8,9.8,43.3,100.9776004,94.86794976,33.3,47.3
"France, Ty",664034,2022,613,15.3,5.7,0.337,0.321,34.8,5.4,36.8,99.03516332,93.56526468,19.3,52.5
"Straw, Myles",664702,2022,596,14.6,9.1,0.257,0.275,34.1,0.7,26.5,95.48612453,91.78423648,12.6,40.5
"Cron, C.J.",543068,2022,632,25.9,6.8,0.335,0.32,36.8,10.8,42.3,101.4101989,94.86748477,24.3,47.7
"Guerrero Jr., Vladimir",665489,2022,706,16.4,8.2,0.351,0.351,27.9,11.2,50.4,105.5070386,97.32861979,24.4,49.7
"Betts, Mookie",605141,2022,639,16.3,8.6,0.373,0.344,36.2,9.7,44.9,99.95446604,94.49707275,16.5,44.2
"Alvarez, Yordan",670541,2022,561,18.9,13.9,0.427,0.46,40.7,21,59.8,105.6769851,98.19592332,23.5,42.7
"Reynolds, Bryan",668804,2022,614,23,9.1,0.349,0.329,35.5,7.9,42.9,100.8825786,94.72279256,27.8,50.4
"Bell, Josh",605137,2022,647,15.8,12.5,0.344,0.346,30.7,7.2,40.8,100.5513575,94.51158479,21.7,45.3
"Grichuk, Randal",545341,2022,538,23.6,4.5,0.315,0.281,27.3,6.8,43.6,101.6014959,95.06614571,24.7,50.6
"Frazier, Adam",624428,2022,602,12.1,7.6,0.274,0.297,37.7,1.5,24.5,95.04813587,91.52406794,14.4,48.7
"McMahon, Ryan",641857,2022,597,26.5,10.1,0.326,0.33,36.4,10.4,46.5,102.0943837,95.68919943,28.2,45.2
"Santander, Anthony",623993,2022,647,18.9,8.5,0.336,0.352,33.5,11.6,43.3,101.3309981,94.97913294,21.5,47.7
"Ramírez, José",608070,2022,685,12,10.1,0.363,0.32,33.7,6.6,36.9,98.87194481,93.50343418,15.3,46.3
"Wisdom, Patrick",621550,2022,534,34.3,9.9,0.316,0.295,29.8,14.2,46.3,102.1640324,95.69587399,36.5,48.1
"Vaughn, Andrew",683734,2022,555,17.3,5.6,0.327,0.319,34.1,7.9,48.6,101.1629503,95.12858284,21,47
"Urshela, Gio",570482,2022,551,17.4,7.4,0.332,0.323,38.6,7,37.6,99.1205524,93.73687591,21.4,53.1
"Andrus, Elvis",462101,2022,577,15.9,6.8,0.31,0.293,29.1,4.5,34.8,98.3360037,93.23664764,21.4,45.6
